ID_CLIENTE,TRANSCRICAO_LIGACAO_CLIENTE,DATETIME_TRANSCRICAO_LIGACAO
CLI001,"Olá, estou ligando porque minha internet está extremamente lenta faz mais de uma semana. Fiz vários testes e a velocidade está muito abaixo do contratado. Já reiniciei o roteador várias vezes. Ninguém conseguiu resolver meu problema até agora. Estou muito frustrado com o serviço.",2025-10-05 09:43:47
CLI001,"Boa tarde, eu já liguei antes sobre a lentidão da internet. Vocês mandaram um técnico que disse que estava tudo ok, mas o problema continua. Minha internet cai todo dia, principalmente à noite. Isso está afetando meu trabalho home office. Preciso de uma solução definitiva urgente. Vou avaliar outras opções.",2025-10-09 09:37:27
CLI001,"Estou ligando novamente sobre o problema técnico que nunca foi resolvido. Já é a terceira vez que ligo. Ficam me passando de setor em setor e ninguém resolve. A internet cai várias vezes ao dia, perco reuniões importantes. Estou seriamente pensando em cancelar o contrato. Já estou muito cansado de ligar.",2025-10-12 08:05:13
CLI001,"Olá, é a quarta vez que ligo sobre o mesmo problema. A internet ainda está instável, com quedas frequentes. Já pedi visita técnica duas vezes e o problema não foi resolvido. Paguei pelo serviço que não está funcionando. Isso é inaceitável. Quero um posicionamento definitivo senão vou cancelar. Quero uma solução definitiva.",2025-10-23 16:38:01
CLI001,"Boa tarde, liguei várias vezes e o problema persiste até hoje. Minha internet está completamente instável. Não consigo trabalhar, fazer videoconferências, nem usar streaming. Quero cancelar meu contrato imediatamente. Nunca mais vou indicar esta empresa para ninguém. Estou muito insatisfeito. Vou avaliar outras opções.",2025-10-26 11:45:41
CLI001,"Olá, quero registrar mais uma reclamação. A internet caiu novamente hoje e fica caindo toda semana. Vocês prometeram resolver mas nunca resolvem. Já estou procurando outras operadoras. Quero o contato do SAC.",2025-11-06 16:26:14
CLI002,"Bom dia, estou ligando porque recebi uma fatura com valor muito acima do que contratei. Há cobranças que eu não reconheço. Já tentei resolver pelo aplicativo mas não consegui. Preciso que me expliquem essas cobranças indevidas.",2025-09-01 14:21:17
CLI002,"Boa tarde, já liguei no mês passado sobre a fatura errada e disseram que iam corrigir, mas essa mês vieram as mesmas cobranças indevidas novamente. Estou pagando por serviços que não contratei. Isso é um absurdo. Quero estorno imediato. Quero uma solução definitiva.",2025-10-11 11:48:21
CLI002,"Olá, quero falar sobre os reajustes absurdos na minha conta. A mensalidade aumentou mais de 30% sem me avisar corretamente. Outros operadores estão oferecendo o mesmo serviço por muito menos. Não tenho como continuar pagando esse valor. Preciso de uma proposta de redução. Já estou muito cansado de ligar.",2025-10-26 09:24:06
CLI002,Estou muito insatisfeito com a cobrança indevida que continua aparecendo na minha fatura. Já reclamei três vezes e nada foi resolvido. Vou pagar só o valor correto e quero cancelar os serviços adicionais que nunca solicitei. Isso está me causando muitos prejuízos.,2025-11-15 13:38:16
CLI003,"Boa tarde, estou ligando para reclamar do atendimento que recebi na semana passada. O atendente foi extremamente grosseiro e não quis me ajudar. Fiquei mais de uma hora esperando e ao final nada foi resolvido. Isso é inadmissível. Já estou muito cansado de ligar.",2025-08-28 16:18:53
CLI003,"Olá, liguei no dia 15 e o atendente desligou o telefone na minha cara. Já faz duas semanas que ninguém entrou em contato para resolver minha reclamação. Sinto que a empresa não se importa com os clientes. Estou muito decepcionado.",2025-09-07 17:56:55
CLI003,"Boa tarde, estou há mais de um mês tentando resolver um problema simples e cada vez que ligo preciso explicar tudo do zero. Nenhum atendente registra o histórico. É extremamente desgastante. Preciso falar com um supervisor urgente. Isso está me causando muitos prejuízos.",2025-09-17 17:12:45
CLI003,Estou perdendo a paciência. Já liguei cinco vezes e cada hora uma informação diferente. Ninguém sabe o que está acontecendo com minha solicitação. O atendimento é péssimo. Vou registrar reclamação no Procon se não resolverem hoje. Já estou muito cansado de ligar.,2025-10-20 08:42:14
CLI003,"Boa tarde, minha última experiência de atendimento foi horrível. Fui transferido quatro vezes, fiquei 2 horas no telefone e no final disseram que não podiam me ajudar. Quero cancelar tudo. Nunca fui tão mal atendido em minha vida. Isso está me causando muitos prejuízos.",2025-10-30 09:54:14
CLI004,"Oi, estou ligando porque recebi uma proposta muito interessante de outra operadora com o dobro da velocidade pelo mesmo preço que pago aqui. Queria saber se vocês conseguem fazer uma contraproposta antes de eu cancelar. Preciso de retorno urgente.",2025-09-15 18:53:23
CLI004,"Bom dia, a operadora X está me oferecendo fibra óptica com muito mais velocidade e desconto especial para os três primeiros meses. O serviço de vocês já está me decepcionando há tempos. Quero saber o que vocês oferecem para me manter como cliente. Quero uma solução definitiva.",2025-09-28 13:22:13
